0	Porn can be an issue as it can lead to feelings of guilt, wasted time and energy, and regret. While it may provide some educational value, it is important to consider the potential risks and benefits of engaging with porn, as it can be addictive and difficult to regulate usage. Therefore, it is best to use porn in moderation and be aware of its potential impact.
1	No, I haven't, but it sounds like it might be beneficial for her to look into pro-bono or low-income based legal services as there may be help available that could reduce her costs. This can vary greatly by state and locality so it may be worth looking into. Many states and localities have services in place to help those with lower incomes, so it may be worth investigating.
2	Sadism as the practice of violence or cruelty against others to fulfil some sort of personal or sexual gratification is, in my opinion, the most detestable act a person can commit. In order to commit such an act, the person must be subjugated and therefore weaker than the active participant, thus compounding the act of violence. This is "evil".   Although these activities may involve consenting adults, it does not change the fact that it is still a form of violence and therefore still unacceptable. I believe that all acts of violence against another should be condemned, regardless of the situation or context.
3	I believe that investing in research to create these hybrids has great potential and could result in exciting new creatures. While the cost may be high and some animals may be at risk, I think the outcome could be well worth the effort.  We could potentially create fascinating animals that blend features from different species, providing an interesting and unique opportunity.
4	Gun control laws may not be the best way to reduce crime. In some cases, gun control laws may make it harder for law-abiding citizens to own guns while not affecting criminals as much. Statistics do show that when confronted by an armed citizen, criminals are less likely to carry out their attacks. Additionally, guns are able to provide citizens with more protection against a potential tyrannical government. Thus, gun control may not be the ideal solution in all cases, as it may not always be effective in reducing crime.
5	Being horny is a natural feeling and is not inherently wrong. However, sexual activities such as masturbation and having sex outside of marriage may be seen as inappropriate in some religious contexts, which can lead to confusion among young people about what is right and wrong. It is important to discuss these issues with young people in a safe and supportive manner in order to provide clarity and guidance.
6	In a society traditionally and, to be honest, still dominated by men, men's general consensus is more popular than women's general consensus, and I think we all know that a lot of men consider lesbians to be downright sexy, as they face less discrimination than gay men due to the biological fact that romantic interest in women is seen as more socially acceptable.  This is because gay women have historically faced less discrimination due to the gender roles that have been enforced in our society.  While gay men have faced discrimination for their same-sex attraction, gay women have not had to deal with the same level of prejudice.  In general, gay women may face less discrimination than gay men when it comes to societal acceptance.
7	This is a sensitive issue and it is understandable why some countries may choose to remain quiet on the matter. While it is important to maintain good relations with China, it is also important to recognize human rights abuses where they occur and to pressure governments to adhere to international law. This is a difficult balance to strike, but it is important that we continue to raise awareness and advocate for reform.
8	I agree that it was not ethical and was even insensitive, but they were done in response to the suicide bombers and they certainly don't respect others beliefs and truths. Although the majority of Muslims are peaceful, some individuals may still choose to engage in violent acts. In order to show respect for all people, it is important to recognize the diversity of beliefs and recognize that violence is not condoned by all religious groups. While we may not agree with the actions of certain individuals, it is still important to be respectful of different beliefs.
9	You can be a kind, compassionate person and bad things can still happen to you. Conversely, you can go through life being selfish and still benefit. People who are successful in life often do so by taking advantage of opportunities and playing to win. It is not always fair, as some people may be treated unfairly in certain situations. It is important to remember that life is not always equal, and those who work hard can benefit from their efforts.
