query,argument,stance,snippet,id,prediction,appropriate,inappropriate,word_count,supervised_summary
climate change,"Climate change clearly does not exist, here are reasons why: (1) Exhaling Carbon Dioxide is no clear threat to our climate, we just breathe it out, our cars do it too (2) It is a conspiracy (3) There are no sources to back your statement up Here are my sources on how ""Climate Change"" doesn't exist: (1) http://www.globalclimatescam.com... (2) http://www.newsmax.com... (3) https://en.wikipedia.org... These 3 sources tell you that climate change is fake, first one tells you the top 10 reasons why climate change does not exist, the second, facts about this ""global warming"" hoax; And finally, The third source tells you the entire conspiracy that ""Climate Change exists""",CON,"Climate change clearly does not exist, here are reasons why: (1) Exhaling Carbon Dioxide is no clear threat to our climate, we just breathe it out, our cars do it too (2) It is a conspiracy (3) There are no sources to back ",0,"['0.0013892841176129877', '0.9986107110977173']",0.0013892841176129,0.9986107110977172,118,"Climate change clearly does not exist, here are reasons why. Exhaling Carbon Dioxide is no clear threat to our climate, we just breathe it out, our cars do it too. It is a conspiracy. There are no sources to back your statement up."
climate change,"A scientific consensus exists on the reality of anthropogenic climate change. "" But there is a scientific consensus on the reality of anthropogenic climate change. Climate scientists have repeatedly tried to make this clear. It is time for the rest of us to listen."" [0] Man-made climate change has already claimed human lives and continues to do so. ""in a general context where the anthropogenic contribution to climate change is becoming more plausible, led to an excess of 14,947 deaths in France, between August 4 and 18, 2003. The greatest increase in mortality was due to causes directly attributable to heat: dehydration, hyperthermia, heat stroke."" [1] ""The association between climate change and the frequency and intensity of extreme heat events is now well established. "" [2] ""The World Health Organisation estimates that the warming and precipitation trends due to anthropogenic climate change of the past 30 years already claim over 150,000 lives annually. Many prevalent human diseases are linked to climate fluctuations, from cardiovascular mortality and respiratory illnesses due to heatwaves, to altered transmission of infectious diseases and malnutrition from crop failures."" [3] ""The consensus that humans are causing recent global warming is shared by 90%–100% of publishing climate scientists according to six independent studies by co-authors of this paper. Those results are consistent with the 97% consensus reported by Cook et al "" [4] My argument is succinct and should prove that man-made climate change is extremely likely to exist. Thanks for debating. Sources: 0. http://science.sciencemag.org... 1. http://onlinelibrary.wiley.com... 2. http://dx.doi.org... 3. http://www.nature.com... 4. http://iopscience.iop.org...",PRO,But there is a scientific consensus on the reality of anthropogenic climate change. ... Sources: 0. http://science.sciencemag.org... 1. http://onlinelibrary.wiley.com... 2. http://dx.doi.org... 3. http://www.nature.com... 4.,2,"['0.4376212753355503', '0.5623787388205528']",0.4376212753355503,0.5623787388205528,273,"There is a scientific consensus on the reality of anthropogenic climate change. Man-made climate change has already claimed human lives and continues to do so. The World Health Organisation estimates that the warming and precipitation trends of the past 30 years already claim over 150,000 lives annually. Many prevalent human diseases are linked to climate fluctuations, from cardiovascular mortality and respiratory illnesses due to heatwaves."
climate change,"My position on climate change is that not only do I believe in it but I believe it is man caused. I will start My opening argument to state that global warming is a proven fact and anyone that disagrees with me is ignorant on this subject. 97% of scientists believe that climate change is primarily human caused. Also the arguments stated by Human-caused climate change deniers are pointless and not fact driven. I wish my opponent the best of luck. Sources(s): Shaftel, H. (Ed.). (2012, January 5). Global Climate Change: Consensus. Retrieved February 3, 2015, from http://climate.nasa.gov...",PRO,My position on climate change is that not only do I believe in it but I believe it is man caused.  ... Also the arguments stated by Human-caused climate change deniers are pointless and not fact driven.,4,"['0.42241027429699896', '0.5775897085666657']",0.4224102742969989,0.5775897085666657,103,My position on climate change is that not only do I believe in it but I believe it is man caused. Anyone that disagrees with me is ignorant on this subject. I wish my opponent the best of luck.
climate change,There is an overwhelming scientific consensus climate change presents a serious risk to the future of the Earth and to mankind. Many of the threats we face due to climate change are insidious and while with others the connection may not be noticed by the deniers. But they are real and serious. Among these are the spread of potentially lethal diseases such as that caused by the Zika virus. Other diseases formerly confined to the tropics will spread across North America and Europe. There is also overwhelming scientific consensus climate change is being caused by human activity. There are a limited number of circumstances under which free speech can be restricted. One of them is child pornography. The reason that can be banned with violating the 1st Amendment is the harm caused to children in the production of child porn is of such magnitude the normal means of combating bad speech-- more speech is not adequate or sufficient. The ignorance peddled by climate change deniers many of whom like child pornographers do so for greed. Those threatened most by the adverse effects of climate change are children. These will include teenagers sent to fight the increasing number of wars and conflicts which will likely occur. Yes the risk is too high to allow this ignorance to continue to be peddled. Should we jail people who write and utter falsehoods about climate change? If need be yes.,PRO,Among these are the spread of potentially lethal diseases such as that caused by the Zika virus. ... There is also overwhelming scientific consensus climate change is being caused by human activity.,6,"['0.21743995328433813', '0.7825600579380989']",0.2174399532843381,0.7825600579380989,236,There is an overwhelming scientific consensus climate change is being caused by human activity. The harm caused to children in the production of child porn is of such magnitude the normal means of combating bad speech is not adequate or sufficient. Those threatened most by the adverse effects of climate change are children. These will include teenagers sent to fight the increasing number of wars and conflicts.
climate change,"I'll accept this challenge. First, I should ask to be clear: When you say ""climate change is a fraud, "" are you referring specifically to anthropogenic climate change or all climate change? If it is the former, As I suspect it is, I won't waste time explaining all the evidence that the globe is, In fact, Warming at an unprecedented rate and instead go straight into attribution. If, However, You don't think the globe is really warming at an unprecedented rate, I'm happy to go into the evidence for it. Moreover, ""fraud"" implies more than just the majority of scientists being wrong (i. E. Misinterpreting the evidence) but also that they are intentionally lying. This is a big claim given the number of scientists who support the concept of anthropogenic climate change and one that incurs its own burden of proof. See you some time in the next 72 hours.",CON,"First, I should ask to be clear: When you say ""climate change is a fraud, "" are you referring specifically to anthropogenic climate change or all climate change? ... See you some time in the next 72 hours.",7,"['0.218446735618636', '0.7815532580018043']",0.218446735618636,0.7815532580018043,153,"""Climate change is a fraud"" is a big claim given the number of scientists who support the concept of anthropogenic climate change. ""Fraud"" implies more than just the majority of scientists being wrong (i. E. Misinterpreting the evidence)"
climate change,"The climate is not changing. The local weather may change but the global climate stays basically the same. The oceans are not rising either. The IPCC is a communist organization that has communist agendas. You can't and shouldn't trust any person or scientist who tells you that the climate is changing. This person will most likely have a secret agenda that has nothing to do with climate. I propose that climate change is a fraud and that the people who support it are all frauds and charlatans. The science of human-caused climate change is faulty and full of misconceptions and bad science. There is proof that climate change is all fake news started by Obama & crew. Those people who listen to that scientist are a jew 1. Video evidence - The In-depth Story Behind A Climate Fraud. The 97% consensus fraud. 2. It's mathematically impossible and against the laws of physics that a tiny human mass verses huge Earth mass, That the former can effect the latter. 3. The properties of CO2 are such that it can't create global warming on the scale indicated by scientists. This is because CO2 reaches it's saturation point at 80 parts / million and doesn't reflect any significant amount of heat after this point is reached. 4. Maurice Strong is the main person that started this whole climate frenzy movement and was found to be corrupt and fled to China to hide from the global police. 5. Climate data fraud. Tree rings used as evidence when it is known that tree ring growth is not an accurate measurement of temperature. ""Hide the decline"" email by Phil Jones. Mike's trick. Hockey stick nonsense. Inverted graphs. Etc. There, That should keep you busy for a while. Refute all these points. Good luck.",CON,There is proof that climate change is all fake news started by Obama & crew. ... Good luck.,8,"['0.0021317781182006003', '0.9978682279586792']",0.0021317781182006,0.9978682279586792,303,The climate is not changing. The local weather may change but the global climate stays basically the same. The IPCC is a communist organization that has communist agendas. You can't and shouldn't trust any person or scientist who tells you that the climate is changing. This person will most likely have a secret agenda that has nothing to do with climate. There is proof that climate change is all fake news started by Obama & crew. Those people who listen to that scientist are a jew.
climate change,"Greetings and welcome to the debate. In this round, I will present my key reasons for believing that climate change is indeed real, And not a hoax, As certain political leaders have said. But first, We must define climate change. The official definition of climate change is: a change in global or regional climate patterns, In particular a change apparent from the mid to late 20th century onwards and attributed largely to the increased levels of atmospheric carbon dioxide produced by the use of fossil fuels. My first reason is that we have seen a huge increase in COS22; levels in the atmosphere, And this can be correlated with human industrial activity. In fact, Atmospheric COS22; levels are directly proportionate to human industrial activity. And, Increasing COS22; levels lead to a predictable rise in temperature. You may say that climates change anyway, And COS22; levels will fluctuate naturally, But it is no coincidence that it starts changing rapidly the moment humans figure out how to mine coal and burn fossil fuels. My second reason is that the Earth's temperature has risen by approximately 1""C since 1969. This might not seem like much, But in comparison to previous climate changes, It is vastly significant. Ocean temperatures have also risen by 0. 7""F, Killing a statistically significant proportion of the Great Barrier Reef. My final reason is that Arctic sea ice is shrinking, And polar bears may see the first iceless summer by 2050. So, We can conclude that climate change is indeed real, And not a hoax. I await my opponent's argument!",PRO,"The official definition of climate change is: a change in global or regional climate patterns, In particular a change apparent from the mid to late 20th century onwards and attributed largely to the increased levels of",9,"['0.004650660930201412', '0.9953493595123291']",0.0046506609302014,0.9953493595123292,265,"The official definition of climate change is: a change in global or regional climate patterns. In particular a change apparent from the mid to late 20th century onwards and attributed largely to the use of fossil fuels. My first reason is that we have seen a huge increase in COS22; levels in the atmosphere, And this can be correlated with human industrial activity. The Earth's temperature has risen by approximately 1""C since 1969. Ocean temperatures have also risen by 0. 7""F, Killing a statistically significant proportion of the Great Barrier Reef. Arctic sea ice is shrinking, And polar bears may see the first iceless summer by 2050."
climate change,"I propose that climate change is a fraud and that the people who support it are all frauds and charlatans. The science of human-caused climate change is faulty and full of misconceptions and bad science. There is proof that climate change is all fake news started by Obama & crew. Those people who listen to that scientist are a jew 1. Video evidence - The In-depth Story Behind A Climate Fraud. The 97% consensus fraud. 2. It's mathematically impossible and against the laws of physics that a tiny human mass verses huge Earth mass, That the former can effect the latter. 3. The properties of CO2 are such that it can't create global warming on the scale indicated by scientists. This is because CO2 reaches it's saturation point at 80 parts / million and doesn't reflect any significant amount of heat after this point is reached. 4. Maurice Strong is the main person that started this whole climate frenzy movement and was found to be corrupt and fled to China to hide from the global police. 5. Climate data fraud. Tree rings used as evidence when it is known that tree ring growth is not an accurate measurement of temperature. ""Hide the decline"" email by Phil Jones. Mike's trick. Hockey stick nonsense. Inverted graphs. Etc. There, That should keep you busy for a while. Refute all these points. Good luck.",CON,This is because CO2 reaches it's saturation point at 80 parts / million and doesn't reflect any significant amount of heat after this point is reached. ... Maurice Strong is the main person that started this whole climate frenzy,10,"['0.0019023946952074766', '0.9980976223945618']",0.0019023946952074,0.9980976223945618,234,There is proof that climate change is all fake news started by Obama & crew. Those people who listen to that scientist are a jew. It's mathematically impossible and against the laws of physics that a tiny human mass verses huge Earth mass can effect the latter. The properties of CO2 are such that it can't create global warming on the scale indicated by scientists.
climate change,"This is as close as the opponent comes to making an argument about cause: ""A scientific consensus exists on the reality of anthropogenic climate change. ' But there is a scientific consensus on the reality of anthropogenic climate change. Climate scientists have repeatedly tried to make this clear. It is time for the rest of us to listen.'[0]"" That is the only statement that is close to an argument about cause. Then the source basically states, science does not know, but what if. Then appeals to emotion by asking people to think about their grandchildren, thus action to reduce CO2 must be taken, you know just in case. The question could also be asked, what if the consensus is wrong? The alarmists are advocating for billions of people to reduce their living standards to keep the planet from maybe warming a few degrees. Looking at the analogy mostly used to explain green house effect, which is a green house. A few years ago I was in an empty plastic sheet green house on a sunny but very cold day. The very thin sheet of clear plastic raised the inside temperature significantly, but the owner was planning on disassembling within a few days. My question to the owner was ""would a second sheet of plastic make the green house warmer for longer?"" The owner looked at me and said ""it does not work that way"". There would be an insulation effect if there is a gap between the two sheets of plastic. Yet, this false consensus is asking us to believe that more CO2 equals higher global temperatures. From an idea that more plastic does not make a green house warmer to a question would more CO2 make the Earth warmer. There is research that suggests once there is enough CO2 to have a green house effect more will not cause higher temperatures[1]. This is outside the narrative and must be stopped. Government's need a reason for people to be scared so that controls can be forced on everyone. In summary, consensus is not science! Climate change has become like a religion for those that believe. Western civilization learned centuries ago that state and religion is best separated. Thus, policy changes based on climate change consensus should not be enacted by governments. 1. http://hockeyschtick.blogspot.com...",CON,"Then the source basically states, science does not know, but what if. ... The very thin sheet of clear plastic raised the inside temperature significantly, but the owner was planning on disassembling within a few days.",12,"['0.0033115640049800276', '0.996688437461853']",0.00331156400498,0.996688437461853,388,"There is a scientific consensus on the reality of anthropogenic climate change. The alarmists are advocating for billions of people to reduce their living standards to keep the planet from maybe warming a few degrees. This is outside the narrative and must be stopped. Government's need a reason for people to be scared so that controls can be forced on everyone. Climate change has become like a religion for those that believe. Western civilization learned centuries ago that state and religion is best separated. Thus, policy changes based on climate change consensus should not be enacted by governments."
climate change,"Round two arguments. First, the science is settled, this is a political debate that deniers try to make look like a scientific debate. Fact: There is a 97% consensus on climate change. Climate scientists are the experts of experts in their field. A consilience of evidence, social calibration, and social diversity exist. Myth: 31,000 scientists signed a petition so therefore there is no consensus. Fallacy: Fake experts, as the expertise increases so does agreement. Co2 is at the highest it has been in over 800,000 years. Tempatures are rising. Glaciers are overall losing mass. Humans fingerprints show humans are extremely likely to be causing these events. Burning of fossil fuels and the released Co2 is the main driver of climate change. Thank you.",PRO,"First, the science is settled, this is a political debate that deniers try to make look like a scientific debate. ... Myth: 31,000 scientists signed a petition so therefore there is no consensus.",13,"['0.0033627970842644572', '0.9966371893882752']",0.0033627970842644,0.9966371893882752,125,There is a 97% consensus on climate change. Burning of fossil fuels and the released Co2 is the main driver. As the expertise increases so does agreement.
