0	Climate change is a hoax, as evidenced by the sources provided. Exhaling Carbon Dioxide is no clear threat to our climate, and our cars do it too.
1	A scientific consensus exists on the reality of anthropogenic climate change. Man-made climate change has already claimed human lives and continues to do so.
2	Climate change is an undeniable reality and human activity is the primary cause of it. Scientists agree that 97% of the causes of global warming are due to mankind's actions.
3	Climate change poses a serious risk to the future of the Earth and mankind. The threats it brings can be insidious and the connection with some others not immediately noticed by deniers.
4	I accept this challenge. First, I should ask to be clear: When you say "climate change is a fraud," are you referring specifically to anthropogenic climate change or all climate change?
5	The climate is not changing. The local weather may change but the global climate stays basically the same.
6	Greetings and welcome to the debate. In this round, I will present my key reasons for believing that climate change is indeed real, And not a hoax, As certain political leaders have said.
7	I propose that climate change is a real and urgent threat and that those who deny its existence are spreading false information. The science of human-caused climate change is sound and based on accurate data.
8	The task at hand is to contend that anthropogenic climate change is non-existent. From a common definition, anthropogenic means relating to, or resulting from the influence of human beings on nature.
9	Climate change is an ongoing political debate that deniers try to make look like a scientific one. The science, however, is settled, with a 97% consensus that human activities are the main cause of global warming and
10	Greetings! Thank you for this debate, this should be fun!
11	Feminism is a movement dedicated to fighting against woman abuse, and everything that leads to the slandering of women. It is not an act of feminism to defend a slut who enabled an adulterous man, as this would be counter-productive.
12	Con has argued that dictionaries do not authoritatively define words, but has given no proof of this. Con's presented only one argument in this entire debate - that masculinism is male supremacy, therefore feminism is female supremacy - without giving any evidence to back the claim that
13	Feminism is the doctrine advocating social, political, and all other rights of women equal to those of men, and it is a movement to ensure those rights are upheld. In spite of its name, feminism does not discriminate against men, but instead seeks to create a world where both genders are treated equally.
14	Feminism is an argument that is necessary in some places, such as first world countries, to ensure equality between the sexes. It is an ongoing movement that aims to help maintain equality and spread the ideology of equality to other parts of the world where help is needed.
15	Feminism is needed in countries where women are oppressed and have little rights, but the conditions of the countries' economy and social interaction must be taken into consideration. Slow, progressive changes should be made to address each conflict differently and ensure that feminism is welcomed before it is implemented.
16	Thank you for the response, especially since you had a bad internet connection. Let me refute your points.
17	Equality is important for everyone, regardless of gender. Feminism is a movement focused on achieving equality for women, but egalitarianism is the belief that everyone should be treated equally.
18	Feminism is the advocacy of women's rights on the grounds of political, social, and economic equality to men. Con conceded that Pro was pro equal rights, thus Pro conceded that Pro is pro feminism, as this is the definition of feminism.
19	Feminism today is so distorted and hypocritical that it is best to abandon it. I am for the rights of men and women, not just women, and not only men.
